# The ehrbase-rs Conformance Catalogue (ECC) — allocated case numbers.
# ecc_id<TAB>area<TAB>status<TAB>primary_ref<TAB>title
# Numbers are allocated once and NEVER reused; retire, don't delete.
# Regenerate additions: REGEN_CATALOG=1 cargo test -p ehrbase-conformance --test coverage
ECC-CTB-015	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-valid_directory	I_EHR_CONTRIBUTION.commit_contribution-valid_directory
ECC-CTB-016	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-fail_create_existing_directory	I_EHR_CONTRIBUTION.commit_contribution-fail_create_existing_directory
ECC-CTB-017	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-fail_modify_non_existing_directory	I_EHR_CONTRIBUTION.commit_contribution-fail_modify_non_existing_directory
ECC-CTB-018	CTB	active	I_EHR_CONTRIBUTION.commit_contribution-update_existing_directory	I_EHR_CONTRIBUTION.commit_contribution-update_existing_directory
ECC-CTB-019	CTB	active	I_EHR_CONTRIBUTION.get_contribution-existing	I_EHR_CONTRIBUTION.get_contribution-existing
ECC-CTB-020	CTB	active	I_EHR_CONTRIBUTION.get_contribution-empty_ehr	I_EHR_CONTRIBUTION.get_contribution-empty_ehr
ECC-CTB-021	CTB	active	I_EHR_CONTRIBUTION.get_contribution-bad_ehr	I_EHR_CONTRIBUTION.get_contribution-bad_ehr
ECC-CTB-022	CTB	active	I_EHR_CONTRIBUTION.get_contribution-bad_contribution	I_EHR_CONTRIBUTION.get_contribution-bad_contribution
ECC-CTB-023	CTB	active	I_EHR_CONTRIBUTION.has_contribution-existing	I_EHR_CONTRIBUTION.has_contribution-existing
ECC-CTB-024	CTB	active	I_EHR_CONTRIBUTION.has_contribution-bad_contribution	I_EHR_CONTRIBUTION.has_contribution-bad_contribution
ECC-CTB-025	CTB	active	I_EHR_CONTRIBUTION.has_contribution-bad_ehr	I_EHR_CONTRIBUTION.has_contribution-bad_ehr
ECC-CTB-026	CTB	active	I_EHR_CONTRIBUTION.has_contribution-empty_ehr	I_EHR_CONTRIBUTION.has_contribution-empty_ehr
ECC-CTB-027	CTB	active	I_EHR_CONTRIBUTION.list_contributions-empty	I_EHR_CONTRIBUTION.list_contributions-empty
ECC-CTB-028	CTB	active	I_EHR_CONTRIBUTION.list_contributions-non_existing_ehr	I_EHR_CONTRIBUTION.list_contributions-non_existing_ehr
ECC-CTB-029	CTB	active	I_EHR_CONTRIBUTION.list_contributions-post_commit	I_EHR_CONTRIBUTION.list_contributions-post_commit
ECC-CTB-030	CTB	active	I_EHR_CONTRIBUTION.list_contributions-ehr_containing_directory	I_EHR_CONTRIBUTION.list_contributions-ehr_containing_directory
ECC-CTB-031	CTB	active	I_EHR_CONTRIBUTION.list_contributions-ehr_containing_ehr_status	I_EHR_CONTRIBUTION.list_contributions-ehr_containing_ehr_status
